bms_search_id,name,short_name,release_year,url
WjTe9QcPdkHXKX,[db] premium,[db] premium,2004,https://web.archive.org/web/20070319222121/http://diverse.jp/dbpremium/
aIxIPn39d3SFkC,キューキービーツ,キューキービーツ,2004,https://web.archive.org/web/20040916022107/http://www.sillywalker.info/9b/
LBwaoFqgRAnu-l,仮装BMS舞踏会 〜中の人は誰だ!!〜,仮装BMS舞踏会,2004,http://spiral.cside.com/fdp/
y4BD-3pXZsC8Ou,"B-1 ""Unrestricted""",B-1 Unrestricted,2005,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=26
yX17i2Yao0IFTd,10kbpackage,10kbpackage,2005,
R6qKdLofZYxK25,BMS OF FIGHTERS 2005,BOF2005,2005,https://manbow.nothing.sh/event/event.cgi?action=List_def&event=22
zXdQE9jurAwgUF,BMS OF FIGHTERS 2005 前夜祭,BOF2005前夜祭,2005,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=23
bvyZjVuc7khCK_,BMS OF FOON 2005,BOFOON2005,2005,http://myk38k.nobody.jp/bms/event/01/bofoon2005.html
eRwo9W-nxZAqiB,Be-Music Battle ClimaX 2005,Be-Music Battle ClimaX 2005,2005,https://web.archive.org/web/20191222081606/https://manbow.nothing.sh/event/2005/event.cgi?action=List_def&event=1
UaWMUO2xrCOmGw,DTM経験とか関係なしにBMS作成するスレ,DTM経験とか関係なしにBMS作成するスレ,2005,http://makebms.web.fc2.com/bms/index.htm
G7jdTakQbBWJmp,Director's Cut,Director's Cut,2005,https://web.archive.org/web/20070116103608/http://dcut.s165.xrea.com/
JocZX6bxse2HDU,Hyper Remix 2,Hyper Remix 2,2005,
5rK6tPAAmMMD4N,Re-Minisce,Re-Minisce,2005,
sixfNWUYYMn2W2,Rise in Revolt,Rise in Revolt,2005,http://www.likeside.net/event/rise_in_revolt/
uctq0cRaFxM3I_,Toy Musical,Toy Musical,2005,http://tm1.toymusical.net/
D_v1iE2wkmmqh-,第五回自称無名BMS作家が物申す！,無名戦5,2005,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=21
WGMm54jFI6LE8M,B.J.Cup 7th stage,B.J.Cup 7th stage,2006,https://web.archive.org/web/20080604094848/http://www.bmsjournal.info/cgi-bin/bjc7/
iGr552PoqobeQ5,BMS OF FOON 2006,BOFOON2006,2006,http://myk38k.nobody.jp/bms/event/02/bofoon2006.html
5qHdaR9NlWTMJQ,BMS Starter Pack 2006,BMS Starter Pack 2006,2006,
iKfK5OttToVzGC,BOF III - THE BMS OF FIGHTERS 2006 -,BOF2006,2006,https://manbow.nothing.sh/event/page/bof2006/
